index,category,image_url,product_url,title,writer,genre,is_exclusive,discount,sale_price,original_price,copies_sold,rating,review_count
1,default,https://doujin-assets.dmm.co.jp/digital/cg/d_687894/d_687894pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_687894/,ヒロイン受胎命令2,斬鬼楼,CG,True,,,990,4268,,5
2,default,https://doujin-assets.dmm.co.jp/digital/cg/d_677351/d_677351pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_677351/,最近義妹になった後輩に堕とされそう4,なえぷち,CG,True,20%OFF,1760,2200,10450,,10
3,default,https://doujin-assets.dmm.co.jp/digital/cg/d_701892/d_701892pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_701892/,返済はカラダで総集編,ミツミツにく,CG,True,50%OFF,2200,4400,999,,6
4,default,https://doujin-assets.dmm.co.jp/digital/cg/d_695851/d_695851pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_695851/,淫魔学園陸上部,G.B.F,CG,False,10%OFF,990,1100,881,,3
5,default,https://doujin-assets.dmm.co.jp/digital/cg/d_703189/d_703189pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_703189/,生成したエロ画像が現実になるスマホ,安楽街,CG,False,,,990,3464,,8
6,default,https://doujin-assets.dmm.co.jp/digital/cg/d_359192/d_359192pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_359192/,ヒロイン受胎命令,斬鬼楼,CG,True,70%OFF,297,990,28657,,33
7,default,https://doujin-assets.dmm.co.jp/digital/cg/d_667867/d_667867pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_667867/,バイブインパンツcompilation,村上水軍の館,CG,False,50%OFF,990,1980,9293,,3
8,default,https://doujin-assets.dmm.co.jp/digital/cg/d_428792/d_428792pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_428792/,最近義妹になった後輩に堕とされそう3,なえぷち,CG,True,50%OFF,715,1430,25197,,21
9,default,https://doujin-assets.dmm.co.jp/digital/cg/d_582735/d_582735pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_582735/,囚われ姫と孕ませゴブリン,斬鬼楼,CG,True,50%OFF,495,990,6379,,6
10,default,https://doujin-assets.dmm.co.jp/digital/cg/d_701531/d_701531pl.jpg,https://www.dmm.co.jp/dc/doujin/-/detail/=/cid=d_701531/,街の本屋で働くむちむち爆乳な地味人妻がバイト同僚の若いチャラ男に好き勝手弄ばれて寝取られちゃう話,なのはなジャム,CG,True,,,770,567,,2
