filename,layer_name,stage,body_part,category,etc
DMM효과음_001-1.png,오싹 오싹5,after_orgasm,body,nsfw_onomatopoeia,"vibrant of body after sex, frequent"
DMM효과음_001-2.png,오싹 오싹4,after_orgasm,body,nsfw_onomatopoeia,"vibrant of body after sex, frequent"
DMM효과음_001-3.png,오싹 오싹3,after_orgasm,body,nsfw_onomatopoeia,"vibrant of body after sex, frequent"
DMM효과음_001-4.png,오싹 오싹2,after_orgasm,body,nsfw_onomatopoeia,"vibrant of body after sex, frequent"
DMM효과음_001-5.png,오싹 오싹1,after_orgasm,body,nsfw_onomatopoeia,"vibrant of body after sex, frequent"
DMM효과음_001-6.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)6,after_orgasm,"penis, pussy",nsfw_onomatopoeia,inserted ejacuation
DMM효과음_001-7.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)5,after_orgasm,"penis, pussy",nsfw_onomatopoeia,inserted ejacuation
DMM효과음_001-8.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)4,after_orgasm,"penis, pussy",nsfw_onomatopoeia,"inserted ejacuation, frequent"
DMM효과음_001-9.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)3,after_orgasm,"penis, pussy",nsfw_onomatopoeia,"inserted ejacuation, frequent"
DMM효과음_001-10.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)2,after_orgasm,"penis, pussy",nsfw_onomatopoeia,"inserted ejacuation, frequent"
DMM효과음_001-11.png,뷰릇 뷰르릇(질내사정 후 질에서 정액 작은 분출)1,after_orgasm,"penis, pussy",nsfw_onomatopoeia,"inserted ejacuation, frequent"
DMM효과음_001-12.png,푸슉!(사정)4,during_orgasm,penis,nsfw_onomatopoeia,"inserted ejacuation, frequent"
DMM효과음_001-13.png,푸슉!(사정)3,during_orgasm,penis,nsfw_onomatopoeia,"not inserted ejacuation, frequent"
DMM효과음_001-14.png,푸슉!(사정)2,during_orgasm,penis,nsfw_onomatopoeia,"not inserted ejacuation, frequent"
DMM효과음_001-15.png,푸슉!(사정)1,during_orgasm,penis,nsfw_onomatopoeia,"not inserted ejacuation, frequent"
DMM효과음_001-16.png,"벌컥 (분출, 시오후키)",during_orgasm,pussy,nsfw_onomatopoeia,"not inserted ejacuation, frequent"
DMM효과음_001-17.png,쮸뽁쮸뽁(격렬),before_orgasm,"penis, pussy",nsfw_onomatopoeia,intensive insertion
